year,month,date,incoming,awarded,count_series,bid_to_cover,incoming_perserie,kuasi_changes,bfcius_index,move_index,usyoy_inflation_survey,idyoy_inflation_survey,bbbcorpspread,emusdindex,finstressidx
2016,9,2016-09-01,58.3763,39,14,1.496828205,4.169735714,-12.80961,-0.260272727,65.021,1.5,3.05,1.84047619,118.257795,0.26466
2016,10,2016-10-01,28.0871,17.77,10,1.580590884,2.80871,24.7209,-0.190857143,62.13481905,1.6,3.3,1.771904762,118.24882,0.0642
2016,11,2016-11-01,22.5145,12.9,5,1.745310078,4.5029,27.3879,-0.053181818,77.73313636,1.7,3.41,1.781363636,121.616305,-0.0151
2016,12,2016-12-01,29.2872,6.2,5,4.723741935,5.85744,65.01796,0.061227273,75.44750455,2.1,3.04,1.6755,123.30833,-0.18428
2017,1,2017-01-01,90.5952,35.35,10,2.562806223,9.05952,-21.82056,0.112909091,74.67906364,2.4,3.2,1.622380952,123.9941684,-0.183675
2017,2,2017-02-01,81.2575,40.43,10,2.009831808,8.12575,5.49436,0.25595,68.95727,2.7,3.9,1.580526316,121.3793944,-0.266125
2017,3,2017-03-01,95.6532,46.35,16,2.06371521,5.978325,48.73699,0.554347826,64.21697391,2.6,3.8,1.540454545,119.7947136,-0.42438
2017,4,2017-04-01,89.0316,34,11,2.618576471,8.093781818,-3.0451,0.4901,68.131495,2.3,4.1,1.570588235,118.5791,-0.4212
2017,5,2017-05-01,68.0657,28,10,2.430917857,6.80657,32.5704,0.850304348,56.5599087,2,4.31,1.5005,118.5382263,-0.612775
2017,6,2017-06-01,55.8586,28.65,10,1.949689354,5.58586,43.07673,0.883409091,52.54293636,1.7,4.28,1.492,117.1770867,-0.728466667
2017,7,2017-07-01,69.6686,38.05,10,1.830975033,6.96686,36.84142,0.920571429,51.09181905,1.8,3.92,1.411904762,116.45963,-0.683
2017,8,2017-08-01,104.9353,37.5,10,2.798274667,10.49353,42.90822,0.757826087,49.9455,1.8,3.99,1.449090909,115.6624409,-0.547425
2017,9,2017-09-01,108.9425,34.5,11,3.157753623,9.903863636,-4.13171,0.840238095,51.2766,2.3,3.7,1.440526316,114.95965,-0.6539
2017,10,2017-10-01,69.0873,40.35,11,1.712200743,6.280663636,9.36467,0.983636364,53.39416818,2,3.68,1.32,117.1422238,-0.771725
2017,11,2017-11-01,80.4071,41.9,10,1.919023866,8.04071,35.70241,1.046636364,46.71165455,2.2,3.4,1.348181818,117.111715,-0.769225
2017,12,2017-12-01,,,,,,38.28936,0.890095238,48.15170952,2.1,3.35,1.3,117.0847444,-0.7077
2018,1,2018-01-01,158.6759,51,10,3.111292157,15.86759,-2.6868,0.935217391,50.15779565,1.9,3.33,1.219545455,114.9511286,-0.718975
2018,2,2018-02-01,93.0771,38.55,10,2.414451362,9.30771,-16.98838,0.33115,64.257355,2.2,3.28,1.226842105,114.24045,-0.318
2018,3,2018-03-01,123.1372,67.25,16,1.831036431,7.696075,35.01269,0.060636364,59.13391818,2.4,3.35,1.37,114.1892421,-0.0532
2018,4,2018-04-01,54.7409,28,10,1.955032143,5.47409,1.07759,-0.006285714,52.59697619,2.5,3.5,1.408095238,114.0487429,0.06354
2018,5,2018-05-01,38.6614,15,10,2.577426667,3.86614,-11.4112,0.45573913,52.52541304,2.8,3.3,1.4655,117.5486105,-0.249025
2018,6,2018-06-01,29.3061,11.7,6,2.504794872,4.88435,22.01016,0.474285714,54.04295714,2.9,3.04,1.573846154,119.8785462,-0.256
2018,7,2018-07-01,59.6341,31.32,10,1.904026181,5.96341,36.35203,0.626772727,49.04183333,2.9,3.2,1.546363636,119.8748143,-0.470825
2018,8,2018-08-01,139.1023,56.5,17,2.461987611,8.182488235,18.28058,0.876695652,49.35395217,2.8,3.33,1.495238095,120.8875905,-0.59082
2018,9,2018-09-01,88.4201,36.21,13,2.441869649,6.801546154,11.35586,1.0003,47.93426316,2.4,3.09,1.473684211,122.0137167,-0.782625
2018,10,2018-10-01,88.9052,40,13,2.22263,6.838861538,39.95604,0.581565217,54.11036364,2.5,3.06,1.480434783,122.6306409,-0.539275
2018,11,2018-11-01,101.111,35,12,2.888885714,8.425916667,5.3188,0.212681818,55.534035,2.2,3.17,1.671428571,124.2393053,-0.21928
2018,12,2018-12-01,,,,,,69.49888,-0.373952381,60.03468947,1.9,3.01,1.919473684,123.7805,0.35185
2019,1,2019-01-01,159.5588,79.2,18,2.014631313,8.864377778,-14.21993,-0.020173913,55.51732857,1.5,3,1.918181818,121.215145,-0.101525
2019,2,2019-02-01,160.2879,47,13,3.410380851,12.32983846,5.21512,0.619,47.39901053,1.6,2.75,1.72,120.8828765,-0.379075
2019,3,2019-03-01,117.8126,43,14,2.739827907,8.415185714,11.1565,0.774761905,48.77880476,1.8,2.51,1.639,121.017545,-0.54064
2019,4,2019-04-01,73.6106,39.12,14,1.881661554,5.2579,-1.46369,0.925272727,49.63694286,2.1,2.67,1.534210526,120.8170789,-0.733125
2019,5,2019-05-01,59.1561,32.37,14,1.827497683,4.225435714,93.34693,0.691086957,55.97031364,1.9,3.13,1.581428571,122.569825,-0.44912
2019,6,2019-06-01,54.7969,24,7,2.283204167,7.828128571,7.42902,0.5371,72.907215,1.6,3.2,1.634,122.2474933,-0.361775
2019,7,2019-07-01,115.2328,44.2,21,2.607076923,5.48727619,33.63892,0.769956522,62.26716364,1.7,3.27,1.513043478,121.6543,-0.507525
2019,8,2019-08-01,98.8884,53.75,14,1.839784186,7.063457143,2.31574,0.204136364,82.65274545,1.8,3.51,1.615,125.0853955,-0.02658
2019,9,2019-09-01,78.7905,41.25,14,1.910072727,5.627892857,10.81197,0.321238095,80.42804,1.8,3.52,1.567142857,125.06447,-0.187325
2019,10,2019-10-01,121.8721,51,14,2.38964902,8.70515,35.87257,0.137652174,76.99798636,1.7,3.29,1.536086957,124.3601455,-0.0057
2019,11,2019-11-01,109.9776,47.25,14,2.327568254,7.855542857,17.52828,0.433904762,62.44526316,2,3.06,1.4445,123.9830842,-0.16396
2019,12,2019-12-01,,,,,,32.10017,0.472318182,59.27,2.4,2.9,1.354,123.395815,-0.29205
2020,1,2020-01-01,176.5219,40,14,4.4130475,12.60870714,1.68833,0.760913043,58.71285714,2.4,2.84,1.307727273,122.2132952,-0.37096
2020,2,2020-02-01,224.0211,39.5,14,5.671420253,16.00150714,16.61733,0.6051,73.56368421,2.2,2.9,1.3725,123.5297211,-0.242225
2020,3,2020-03-01,163.2363,56.77,21,2.875397217,7.773157143,57.35092,-4.069909091,115.6322727,1.6,2.92,3.165238095,130.9692857,3.785075
2020,4,2020-04-01,71.046,35.807486,14,1.98411025,5.074714286,-22.96783,-3.131590909,68.89285714,0.4,2.76,3.345714286,135.0569524,2.396675
2020,5,2020-05-01,66.2455,18.228585,7,3.634154818,9.463642857,107.75938,-0.904,54.945,0.3,2.2,2.729375,134.00185,0.786675
2020,6,2020-06-01,232.127,58.698115,21,3.954590365,11.05366667,-16.72728,-0.463681818,56.85882273,0.6,1.84,2.104761905,130.969319,0.20468
2020,7,2020-07-01,113.9433,39.60527,14,2.876973191,8.138807143,85.26502,-0.10973913,46.77318182,0.7,1.71,1.916818182,130.6320095,0.0354
2020,8,2020-08-01,164.3577,40.797371,14,4.02863459,11.73983571,58.33924,0.265809524,45.03904762,1.2,1.4,1.775555556,129.86,-0.23744
2020,9,2020-09-01,78.383,39.401993,14,1.989315617,5.598785714,3.58447,0.031818182,41.86714286,1.4,1.4,1.774090909,128.1586048,-0.022425
2020,10,2020-10-01,112.4994,53.010111,14,2.122225324,8.035671429,42.37662,-0.0215,55.52190476,1.3,1.45,1.727368421,126.9689722,-0.093725
